1	media_col5	Max_Col5	Min_Col5	Media_Col6	Max_Col6	Min_Col6
213	-2.229861111111111	824	16	-2.229861111111111	10	-17
214	-9.031944444444445	560	26	-9.031944444444445	3	-17
215	-3.890277777777778	846	23	-3.890277777777778	4	-12
216	-5.626388888888889	772	29	-5.626388888888889	5	-15
217	-8.154861111111112	739	35	-8.154861111111112	3	-20
218	-3.904861111111111	431	25	-3.904861111111111	2	-13
219	0.09027777777777778	168	20	0.09027777777777778	11	-8
220	-0.9138888888888889	1396	24	-0.9138888888888889	23	-43
221	-57.62291666666667	1679	88	-57.62291666666667	-9	-88
222	-39.675	1218	25	-39.675	-26	-59
223	-28.440277777777776	1177	50	-28.440277777777776	-14	-44
224	-28.215972222222224	909	22	-28.215972222222224	-17	-44
225	-25.8375	828	21	-25.8375	-16	-38
226	-26.402083333333334	955	51	-26.402083333333334	-5	-46
227	-18.81111111111111	598	15	-18.81111111111111	-6	-32
228	-8.865277777777777	617	13	-8.865277777777777	-2	-18
229	-6.747222222222222	501	20	-6.747222222222222	9	-19
230	2.4319444444444445	615	26	2.4319444444444445	15	-13
231	1.5923611111111111	974	44	1.5923611111111111	18	-24
232	-21.45138888888889	780	28	-21.45138888888889	-9	-36
233	-9.558333333333334	715	26	-9.558333333333334	3	-29
234	-6.936805555555556	678	23	-6.936805555555556	2	-20
235	-4.00625	596	41	-4.00625	1	-12
236	1.9375	256	37	1.9375	14	-10
237	2.98125	582	31	2.98125	17	-14
238	-6.856944444444444	648	38	-6.856944444444444	4	-28
239	-2.575	502	20	-2.575	8	-20
240	-1.8694444444444445	496	27	-1.8694444444444445	9	-10
241	-4.567361111111111	542	38	-4.567361111111111	9	-13
242	-3.8159722222222223	488	50	-3.8159722222222223	21	-14
243	5.502083333333333	274	26	5.502083333333333	23	-14
